      Week,  Young, Middle,    Old,    All, Total Deaths
  1/4/2020,      0,      0,      0,      0,     60167
 1/11/2020,      0,      0,      1,      1,     60731
 1/18/2020,      0,      0,      2,      2,     59358
 1/25/2020,      0,      1,      2,      3,     59157
  2/1/2020,      0,      0,      0,      0,     58829
  2/8/2020,      0,      0,      4,      4,     59476
 2/15/2020,      0,      0,      6,      6,     58810
 2/22/2020,      0,      1,      5,      6,     58907
 2/29/2020,      0,      3,      6,      9,     59330
  3/7/2020,      0,      2,     36,     38,     59692
 3/14/2020,      0,      3,     57,     60,     58667
 3/21/2020,      3,     66,    519,    588,     59212
 3/28/2020,      9,    410,   2807,   3226,     63020
  4/4/2020,     15,   1088,   9037,  10140,     72287
 4/11/2020,     29,   1278,  15040,  16347,     79088
 4/18/2020,     17,   1203,  16000,  17220,     76801
 4/25/2020,     26,    988,  14543,  15557,     73907
  5/2/2020,     17,    799,  12405,  13221,     69294
  5/9/2020,     26,    694,  10523,  11243,     66811
 5/16/2020,     17,    623,   8599,   9239,     64479
 5/23/2020,      6,    506,   6736,   7248,     61623
 5/30/2020,     13,    453,   5710,   6176,     59680
  6/6/2020,      9,    446,   4605,   5060,     58907
 6/13/2020,      9,    413,   3811,   4233,     58024
 6/20/2020,     12,    376,   3464,   3852,     57994
 6/27/2020,     21,    392,   3433,   3846,     58504
  7/4/2020,     25,    547,   3985,   4557,     59816
 7/11/2020,     30,    654,   5102,   5786,     61940
 7/18/2020,     26,    765,   6407,   7198,     63173
 7/25/2020,     29,    832,   7389,   8250,     64242
  8/1/2020,     28,    769,   7511,   8308,     64232
  8/8/2020,     19,    717,   7133,   7869,     63713
 8/15/2020,     24,    654,   6591,   7269,     63640
 8/22/2020,     23,    571,   5795,   6389,     62560
 8/29/2020,     13,    431,   5311,   5755,     61103
  9/5/2020,     12,    390,   4619,   5021,     60246
 9/12/2020,     18,    409,   4201,   4628,     59660
 9/19/2020,      9,    305,   3966,   4280,     59737
 9/26/2020,      7,    340,   3958,   4305,     60610
 10/3/2020,      9,    312,   3925,   4246,     59802
10/10/2020,     10,    327,   4486,   4823,     61775
10/17/2020,      5,    313,   4886,   5204,     60638
10/24/2020,      9,    372,   5619,   6000,     62184
10/31/2020,     17,    437,   6577,   7031,     63425
 11/7/2020,     15,    516,   8234,   8765,     67586
11/14/2020,     12,    618,  10024,  10654,     68821
11/21/2020,     23,    728,  12613,  13364,     71670
11/28/2020,     24,    844,  14760,  15628,     73298
 12/5/2020,     23,   1025,  17530,  18578,     77421
12/12/2020,     30,   1155,  19755,  20940,     82003
12/19/2020,     32,   1313,  20996,  22341,     82930
12/26/2020,     31,   1490,  21877,  23398,     84367
  1/2/2021,     49,   1649,  23195,  24893,     87031
  1/9/2021,     42,   1752,  24232,  26026,     87069
 1/16/2021,     39,   1659,  24041,  25739,     87414
 1/23/2021,     29,   1632,  22070,  23731,     83677
 1/30/2021,     39,   1469,  18854,  20362,     79197
  2/6/2021,     32,   1196,  15840,  17068,     76513
 2/13/2021,     26,   1035,  12489,  13550,     71514
 2/20/2021,     16,    825,   9994,  10835,     69515
 2/27/2021,     28,    716,   7930,   8674,     66739
  3/6/2021,     14,    612,   6115,   6741,     63696
 3/13/2021,     11,    550,   5171,   5732,     61859
 3/20/2021,     16,    525,   4370,   4911,     60371
 3/27/2021,     15,    492,   3956,   4463,     60812
  4/3/2021,     17,    468,   3728,   4213,     58699
 4/10/2021,     15,    560,   3750,   4325,     60994
 4/17/2021,     12,    602,   3846,   4460,     59146
 4/24/2021,     28,    651,   3934,   4613,     60254
  5/1/2021,     16,    563,   3601,   4180,     59831
  5/8/2021,     16,    568,   3431,   4015,     59011
 5/15/2021,     25,    513,   3156,   3694,     58466
 5/22/2021,     26,    487,   2732,   3245,     58756
 5/29/2021,     17,    402,   2364,   2783,     57337
  6/5/2021,     17,    347,   1989,   2353,     57457
 6/12/2021,      9,    309,   1730,   2048,     57155
 6/19/2021,      7,    315,   1461,   1783,     57240
 6/26/2021,      8,    274,   1357,   1639,     56925
  7/3/2021,      9,    271,   1268,   1548,     57524
 7/10/2021,     12,    296,   1342,   1650,     57213
 7/17/2021,     13,    366,   1616,   1995,     57210
 7/24/2021,     31,    551,   2188,   2770,     58433
 7/31/2021,     40,    842,   3244,   4126,     60314
  8/7/2021,     47,   1432,   5021,   6500,     63795
 8/14/2021,     89,   2031,   7304,   9424,     67043
 8/21/2021,     82,   2609,   9514,  12205,     69956
 8/28/2021,     88,   2988,  11131,  14207,     72182
  9/4/2021,     98,   3362,  12076,  15536,     73519
 9/11/2021,    112,   3179,  12157,  15448,     73738
 9/18/2021,    107,   3079,  12057,  15243,     73312
 9/25/2021,    109,   3011,  11255,  14375,     72182
 10/2/2021,     77,   2547,  10232,  12856,     71346
 10/9/2021,     51,   2074,   9071,  11196,     69133
10/16/2021,     65,   1856,   7981,   9902,     67547
10/23/2021,     47,   1582,   7328,   8957,     67062
10/30/2021,     47,   1345,   6582,   7974,     66480
 11/6/2021,     41,   1179,   6082,   7302,     66622
11/13/2021,     38,   1104,   6032,   7174,     67461
11/20/2021,     45,   1081,   6199,   7325,     66961
11/27/2021,     37,   1150,   6711,   7898,     67968
 12/4/2021,     45,   1202,   7545,   8792,     70180
12/11/2021,     55,   1371,   8318,   9744,     72146
12/18/2021,     46,   1479,   8742,  10267,     71333
12/25/2021,     48,   1509,   8916,  10473,     72320
  1/1/2022,     73,   1757,   9860,  11690,     74419
  1/8/2022,     96,   2042,  12975,  15113,     79734
 1/15/2022,    108,   2167,  16810,  19085,     85007
 1/22/2022,    106,   2094,  19135,  21335,     85569
 1/29/2022,     71,   1926,  18963,  20960,     84983
  2/5/2022,     66,   1558,  17105,  18729,     81109
 2/12/2022,     40,   1302,  13960,  15302,     77017
 2/19/2022,     46,    924,  10555,  11525,     70783
 2/26/2022,     39,    615,   7608,   8262,     65956
  3/5/2022,     30,    456,   5542,   6028,     64379
 3/12/2022,     30,    317,   4037,   4384,     61759
 3/19/2022,     18,    250,   2844,   3112,     60479
 3/26/2022,     16,    187,   2289,   2492,     58502
  4/2/2022,     10,    154,   1732,   1896,     57936
  4/9/2022,      9,    115,   1421,   1545,     57669
 4/16/2022,     10,    116,   1271,   1397,     57694
 4/23/2022,     11,    128,   1202,   1341,     56641
 4/30/2022,     10,    106,   1297,   1413,     57220
  5/7/2022,     13,    105,   1300,   1418,     57424
 5/14/2022,      8,    103,   1551,   1662,     57823
 5/21/2022,     17,    123,   1591,   1731,     57566
 5/28/2022,     15,    121,   1789,   1925,     56975
  6/4/2022,     14,    113,   1848,   1975,     57430
 6/11/2022,     10,    144,   1947,   2101,     57881
 6/18/2022,     10,    131,   2034,   2175,     57573
 6/25/2022,     12,    121,   2157,   2290,     58051
  7/2/2022,     11,    143,   2224,   2378,     57791
  7/9/2022,     14,    148,   2371,   2533,     57746
 7/16/2022,     12,    159,   2690,   2861,     57971
 7/23/2022,      9,    169,   2969,   3147,     59254
 7/30/2022,     14,    187,   3111,   3312,     58010
  8/6/2022,     15,    192,   3037,   3244,     58209
 8/13/2022,      9,    176,   2974,   3159,     57319
 8/20/2022,      6,    151,   2872,   3029,     56772
 8/27/2022,      5,    149,   2720,   2874,     55957
  9/3/2022,     10,    120,   2565,   2695,     54734
 9/10/2022,      6,    117,   2398,   2521,     53087
 9/17/2022,      2,    100,   1980,   2082,     47074
 9/24/2022,      3,     70,   1558,   1631,     38215
 10/1/2022,      0,     17,    753,    770,     18050
